Pathway name,Uniquegenes,Uniquemetabol.,Metabolomics,Metabolomics(FDR BH),Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Combined pValue(Stouffer),Combined pValue(Stouffer)[FDR BH]
ABC transporters,29,,0.232039637,1,0.462547915,1,0.097016844,0.831919439,0.148873346,1
Lipid and atherosclerosis,159,,0.907385399,1,0.05432971,0.802350146,0.225474593,0.934467112,0.321399064,1
Epstein-Barr virus infection,176,,0.817636578,1,0.756752284,1,0.01835762,0.531064654,0.595463333,1
Autophagy - other,30,,0.02356414,1,0.760535197,1,0.636311342,1,0.239695356,1
Progesterone-mediated oocyte maturation,81,,0.030502123,1,0.479012727,1,0.934077305,1,0.247619666,1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25,,1,1,0.015287364,0.471128767,0.914442504,1,0.999504257,1
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,,-,,1,1,0.052681677,0.785684535,0.999998304,1
Axon guidance,121,,0.019707341,1,0.976670162,1,0.817114491,1,0.614122115,1
Prion disease,222,,0.019707341,1,0.856764361,1,0.959478482,1,0.505547298,1
"Glycine, serine and threonine metabolism",29,,1,1,0.054436736,0.802350146,0.310123799,0.984530065,0.99834933,1
Sphingolipid signaling pathway,99,,0.265161794,1,0.896977953,1,0.072977893,0.785684535,0.440345806,1
Melanoma,46,,0.348928127,1,0.833673539,1,0.062168398,0.785684535,0.414022676,1
Relaxin signaling pathway,88,,0.133019276,1,0.914860106,1,0.154981378,0.929509721,0.409221759,1
Estrogen signaling pathway,84,,0.22177358,1,0.804145269,1,0.112522327,0.918932338,0.339695142,1
Cell cycle,118,,0.369814297,1,0.452508369,1,0.125762322,0.927500267,0.230550169,1
Endometrial cancer,52,,0.143703022,1,0.431798116,1,0.348724162,1,0.168841961,1
B cell receptor signaling pathway,74,,0.275804901,1,0.998445474,1,0.079611124,0.785684535,0.838406049,1
Carbohydrate digestion and absorption,30,,0.547424725,1,0.663341077,1,0.061765647,0.785684535,0.404678927,1
Leishmaniasis,59,,0.488392398,1,0.207483658,1,0.221717864,0.934467112,0.199407865,1
Hippo signaling pathway - multiple species,21,,0.733555144,1,0.462547915,1,0.068757893,0.785684535,0.411278679,1
Small cell lung cancer,75,,0.611711601,1,0.519837161,1,0.073883614,0.785684535,0.367243591,1
Carbon metabolism,99,,0.473057856,1,0.103173533,0.987469987,0.483922738,1,0.189267567,1
Mannose type O-glycan biosynthesis,19,,-,,0.248473282,1,0.319157277,0.986224738,0.204955057,1
Hematopoietic cell lineage,53,,0.133019276,1,0.589999968,1,0.310956738,0.984530065,0.22026207,1
beta-Alanine metabolism,23,,1,1,0.395036257,1,0.06531817,0.785684535,0.999681386,1
Autophagy - animal,124,,0.067839855,1,0.534207606,1,0.71339859,1,0.240269613,1
Biosynthesis of cofactors,111,,0.968312721,1,0.347382708,1,0.076917908,0.785684535,0.660184912,1
TNF signaling pathway,84,,0.58177829,1,0.552390441,1,0.082462517,0.785684535,0.376761782,1
Fatty acid degradation,35,,1,1,0.027797773,0.628229664,0.955446735,1,0.999829469,1
Viral carcinogenesis,179,,0.759527441,1,0.903692141,1,0.039785501,0.785684535,0.736634723,1
Peroxisome,70,,0.733555144,1,0.047439189,0.802350146,0.787979466,1,0.356408707,1
Pathways of neurodegeneration - multiple diseases,380,,0.029702898,1,0.954193792,1,0.998628815,1,0.844580413,1
Lysosome,115,,0.488392398,1,0.275978507,1,0.212335707,0.934467112,0.237947934,1
Breast cancer,107,,0.271657465,1,0.599299489,1,0.178209573,0.934467112,0.277494945,1
Signaling pathways regulating pluripotency of stem cells,99,,0.265161794,1,0.519837161,1,0.212919202,0.934467112,0.246420478,1
Human cytomegalovirus infection,169,,0.199695557,1,0.913961253,1,0.165558906,0.934467112,0.484104023,1
Pertussis,51,,0.085064204,1,0.426898021,1,0.842534424,1,0.263711332,1
Steroid hormone biosynthesis,19,,-,,0.760572879,1,0.130859725,0.927500267,0.514609243,1
Gastric cancer,105,,0.310460983,1,0.441039099,1,0.237229657,0.934467112,0.243199801,1
Steroid biosynthesis,19,,1,1,0.036683984,0.684965375,0.935418401,1,0.999835844,1
Butanoate metabolism,17,,0.547424725,1,0.077670625,0.877678059,0.82878783,1,0.315932212,1
Inflammatory bowel disease,41,,0.423144676,1,0.103533764,0.987469987,0.805746485,1,0.269472066,1
Ascorbate and aldarate metabolism,7,,-,,0.462547915,1,0.236403388,0.934467112,0.327416928,1
Non-homologous end-joining,13,,0.054634655,1,1,1,0.657220508,1,0.999397676,1
Pathways in cancer,364,,0.34585544,1,0.766378455,1,0.136496767,0.927500267,0.41683157,1
Proximal tubule bicarbonate reclamation,16,,0.410384151,1,0.629457867,1,0.140612285,0.927500267,0.363558343,1
Diabetic cardiomyopathy,159,,0.089733617,1,0.455334174,1,0.900940631,1,0.323749278,1
IL-17 signaling pathway,60,,0.414875606,1,0.435576082,1,0.20512647,0.934467112,0.286555479,1
Pancreatic cancer,69,,0.985799988,1,0.86919429,1,0.044221764,0.785684535,0.934450611,1
Cardiac muscle contraction,49,,0.136303003,1,0.307652244,1,0.922747699,1,0.309519324,1
Transcriptional misregulation in cancer,126,,0.637514848,1,0.297792469,1,0.205225014,0.934467112,0.333192513,1
Hippo signaling pathway,118,,0.141028831,1,0.54919043,1,0.521604328,1,0.272902921,1
Non-small cell lung cancer,62,,0.58177829,1,0.86201045,1,0.080641783,0.785684535,0.619200624,1
N-Glycan biosynthesis,47,,0.410384151,1,0.771192143,1,0.128771325,0.927500267,0.45930679,1
Glycosphingolipid biosynthesis - globo and isoglobo series,11,,-,,0.154428288,1,0.796011807,1,0.325192373,1
JAK-STAT signaling pathway,86,,0.473057856,1,0.477536069,1,0.183361699,0.934467112,0.334120805,1
Gap junction,63,,0.086908831,1,0.91828441,1,0.525315163,1,0.515159594,1
Viral myocarditis,51,,0.414875606,1,0.207483658,1,0.498838433,1,0.25093445,1
Complement and coagulation cascades,36,,1,1,0.07596827,0.877678059,0.582033599,1,0.99954924,1
AMPK signaling pathway,97,,0.987465062,1,0.79303961,1,0.057366617,0.785684535,0.918017407,1
Dopaminergic synapse,93,,0.161978102,1,0.937637154,1,0.301382982,0.984530065,0.559639308,1
Cocaine addiction,32,,0.231596118,1,0.800324217,1,0.247919846,0.934467112,0.422358964,1
Basal cell carcinoma,43,,0.587279116,1,0.395036257,1,0.199325053,0.934467112,0.361888981,1
Riboflavin metabolism,7,,-,,0.575704195,1,0.236403388,0.934467112,0.419967177,1
Thyroid hormone synthesis,50,,0.348928127,1,0.98063031,1,0.139686161,0.927500267,0.748997921,1
Pantothenate and CoA biosynthesis,16,,1,1,0.07596827,0.877678059,0.635067533,1,0.999627982,1
Glycerophospholipid metabolism,66,,0.420059495,1,0.144098557,1,0.803803238,1,0.311125893,1
Glioma,59,,0.254874416,1,0.943811196,1,0.20512647,0.934467112,0.6109556,1
Various types of N-glycan biosynthesis,34,,0.410384151,1,0.533532503,1,0.226430499,0.934467112,0.35086136,1
cGMP-PKG signaling pathway,110,,0.180036865,1,0.918390322,1,0.310828277,0.984530065,0.545990385,1
FoxO signaling pathway,107,,0.525217958,1,0.513068704,1,0.193443298,0.934467112,0.39337725,1
Pentose phosphate pathway,26,,0.27695851,1,0.949011311,1,0.201256606,0.934467112,0.637463354,1
Human papillomavirus infection,248,,0.623616455,1,0.944073091,1,0.092931457,0.831919439,0.767188758,1
Prolactin signaling pathway,52,,0.133019276,1,0.907113339,1,0.498838433,1,0.551375764,1
Fat digestion and absorption,21,,-,,0.2202301,1,0.764758104,1,0.38384203,1
Focal adhesion,139,,0.192229665,1,0.831873025,1,0.379156759,1,0.474437764,1
Citrate cycle (TCA cycle),29,,0.547424725,1,0.116656378,0.988662806,0.950955037,1,0.476527306,1
Asthma,19,,0.231596118,1,0.317532627,1,0.82878783,1,0.335956128,1
Cysteine and methionine metabolism,42,,0.843293616,1,0.113602742,0.987469987,0.642548143,1,0.506877358,1
Huntington disease,255,,0.06339252,1,0.97942706,1,0.992803228,1,0.897589295,1
Sulfur relay system,8,,1,1,0.068893474,0.877678059,0.896341845,1,0.999888815,1
RNA polymerase,31,,0.085064204,1,0.749125129,1,0.977567049,1,0.621562789,1
GnRH signaling pathway,74,,0.086908831,1,0.882429078,1,0.813552993,1,0.58811468,1
VEGF signaling pathway,48,,0.161978102,1,0.901971746,1,0.433971307,1,0.551338524,1
T cell receptor signaling pathway,79,,0.125119267,1,0.54919043,1,0.934077305,1,0.462918288,1
Colorectal cancer,77,,0.265161794,1,0.479012727,1,0.514901392,1,0.333168776,1
Aldosterone synthesis and secretion,62,,0.355396903,1,0.764001039,1,0.246011414,0.934467112,0.483813854,1
Intestinal immune network for IgA production,35,,0.843293616,1,0.253566337,1,0.318544848,0.986224738,0.519280935,1
Oocyte meiosis,108,,0.13422244,1,0.625097575,1,0.823574929,1,0.436233522,1
Viral protein interaction with cytokine and cytokine receptor,30,,0.410384151,1,0.551476557,1,0.310123799,0.984530065,0.399232086,1
Retinol metabolism,19,,-,,0.363964594,1,0.52080178,1,0.392574325,1
Rheumatoid arthritis,63,,0.652700927,1,0.571649885,1,0.189914447,0.934467112,0.514527685,1
Renal cell carcinoma,56,,0.194328722,1,0.900410945,1,0.405124491,1,0.569959633,1
Hepatitis C,116,,0.496226774,1,0.789077756,1,0.184605028,0.934467112,0.567352243,1
Chronic myeloid leukemia,69,,0.687378174,1,0.886475959,1,0.11974795,0.927500267,0.742721337,1
PI3K-Akt signaling pathway,223,,0.502567749,1,0.719164954,1,0.202389235,0.934467112,0.524033483,1
Long-term potentiation,52,,0.081478424,1,0.953632335,1,0.950176123,1,0.791446328,1
Fc epsilon RI signaling pathway,53,,0.355396903,1,0.940255122,1,0.221717864,0.934467112,0.681876244,1
Measles,110,,0.818349087,1,0.331949217,1,0.276462373,0.97006671,0.533947821,1
Primary immunodeficiency,28,,0.714209374,1,0.839385231,1,0.128384431,0.927500267,0.71848383,1
EGFR tyrosine kinase inhibitor resistance,58,,0.356913887,1,0.435576082,1,0.495647717,1,0.363182863,1
Neurotrophin signaling pathway,100,,0.16597374,1,0.605528205,1,0.784061319,1,0.4366579,1
Rap1 signaling pathway,145,,0.125119267,1,0.953850099,1,0.665333773,1,0.692902628,1
Osteoclast differentiation,98,,0.724054443,1,0.479141461,1,0.23085315,0.934467112,0.528918443,1
Circadian rhythm,23,,0.27695851,1,0.317532627,1,0.957323644,1,0.486580094,1
Hepatitis B,134,,0.586652752,1,0.532697436,1,0.27160773,0.97006671,0.485108225,1
Cholesterol metabolism,33,,0.733555144,1,0.125435151,1,0.923076158,1,0.584067081,1
Spinocerebellar ataxia,121,,0.088517972,1,0.989264593,1,0.978053379,1,0.916937836,1
HIF-1 signaling pathway,88,,0.697876454,1,0.297792469,1,0.413172161,1,0.464364069,1
Phagosome,119,,0.403793749,1,0.367699702,1,0.588270451,1,0.384672417,1
"Alanine, aspartate and glutamate metabolism",24,,0.410384151,1,0.981877644,1,0.221160278,0.934467112,0.82009706,1
Proteasome,45,,0.089759701,1,0.99876175,1,0.995562594,1,0.981848175,1
Oxytocin signaling pathway,110,,0.125119267,1,0.981811505,1,0.739632023,1,0.803116246,1
African trypanosomiasis,20,,1,1,0.111729727,0.987469987,0.82878783,1,0.999909931,1
Amphetamine addiction,48,,0.182954934,1,0.627220231,1,0.814919931,1,0.485318095,1
Sulfur metabolism,8,,-,,0.760572879,1,0.312868155,0.984530065,0.640695756,1
Fluid shear stress and atherosclerosis,96,,0.993651256,1,0.181660013,1,0.531796933,1,0.858610373,1
Caffeine metabolism,1,,-,,1,1,0.246570263,0.934467112,0.999999849,1
Propanoate metabolism,32,,0.795637237,1,0.16994781,1,0.739705858,1,0.567171368,1
2-Oxocarboxylic acid metabolism,17,,-,,0.253566337,1,0.989296764,1,0.726747865,1
Phototransduction,14,,-,,0.259063114,1,0.974910218,1,0.671149725,1
Galactose metabolism,24,,0.733555144,1,0.229440894,1,0.606918825,1,0.512857141,1
Vitamin digestion and absorption,12,,1,1,0.111382443,0.987469987,0.966674925,1,0.999977952,1
Starch and sucrose metabolism,27,,0.423144676,1,0.663341077,1,0.383640128,1,0.513066682,1
One carbon pool by folate,18,,1,1,0.154011781,1,0.726095958,1,0.999907913,1
Pancreatic secretion,56,,0.182954934,1,0.860561478,1,0.71132625,1,0.627486249,1
Chemical carcinogenesis - DNA adducts,20,,1,1,0.551476557,1,0.203172609,0.934467112,0.999958332,1
Arginine and proline metabolism,35,,0.232039637,1,0.732858608,1,0.661451154,1,0.533498994,1
C-type lectin receptor signaling pathway,82,,0.356913887,1,0.86919429,1,0.363404449,1,0.638385879,1
MicroRNAs in cancer,141,,0.75254117,1,0.281950549,1,0.535601256,1,0.542627552,1
Insulin resistance,88,,0.839725418,1,0.938374553,1,0.144362867,0.929509721,0.893184445,1
Ubiquinone and other terpenoid-quinone biosynthesis,10,,-,,1,1,0.277161917,0.97006671,0.999999883,1
Phenylalanine metabolism,11,,-,,1,1,0.277161917,0.97006671,0.999999883,1
Glycosaminoglycan biosynthesis - keratan sulfate,11,,-,,1,1,0.277161917,0.97006671,0.999999883,1
Ovarian steroidogenesis,24,,0.232039637,1,0.923875954,1,0.562774893,1,0.695231526,1
Fatty acid metabolism,50,,1,1,0.186422961,1,0.656997729,1,0.999910621,1
Cushing syndrome,110,,0.271657465,1,0.646919338,1,0.6984599,1,0.518617698,1
Leukocyte transendothelial migration,81,,1,1,0.823727132,1,0.150380906,0.929509721,0.999993946,1
Amyotrophic lateral sclerosis,302,,0.124815692,1,0.996026678,1,0.999651495,1,0.988555262,1
Natural killer cell mediated cytotoxicity,81,,0.231900924,1,0.714041398,1,0.755132699,1,0.560756562,1
Endocrine resistance,83,,0.22177358,1,0.882429078,1,0.6419184,1,0.658668125,1
Insulin secretion,49,,0.587279116,1,0.949011311,1,0.225417068,0.934467112,0.820252846,1
Selenocompound metabolism,15,,0.547424725,1,0.395036257,1,0.582808313,1,0.494311324,1
Chemical carcinogenesis - receptor activation,123,,0.525217958,1,0.640576757,1,0.375703842,1,0.5609099,1
Choline metabolism in cancer,72,,0.265161794,1,0.982984002,1,0.49031261,1,0.830467584,1
Pyruvate metabolism,38,,0.843293616,1,0.27995896,1,0.545134579,1,0.62775544,1
Fc gamma R-mediated phagocytosis,77,,0.231900924,1,0.99970228,1,0.568466592,1,0.965341658,1
Thyroid hormone signaling pathway,100,,0.350935045,1,0.541554315,1,0.702968002,1,0.508815264,1
Th17 cell differentiation,89,,0.755201393,1,0.253826624,1,0.723376131,1,0.599110018,1
Long-term depression,43,,0.348928127,1,1,1,0.398952738,1,0.999921144,1
Lysine degradation,51,,0.717837475,1,0.203097265,1,0.957172014,1,0.691612022,1
AGE-RAGE signaling pathway in diabetic complications,74,,0.90792808,1,0.996626267,1,0.156633115,0.929509721,0.987513876,1
Tryptophan metabolism,26,,1,1,0.473431279,1,0.29987107,0.984530065,0.999956629,1
Nicotinate and nicotinamide metabolism,27,,0.32928406,1,0.473431279,1,0.914442504,1,0.576977717,1
"Neomycin, kanamycin and gentamicin biosynthesis",3,,-,,0.575704195,1,0.572388679,1,0.601518599,1
Ubiquitin mediated proteolysis,131,,0.313634437,1,0.729607021,1,0.635678606,1,0.584159889,1
Metabolism of xenobiotics by cytochrome P450,28,,1,1,0.317532627,1,0.468343821,1,0.999936324,1
"Growth hormone synthesis, secretion and action",88,,0.356913887,1,0.976089771,1,0.437353719,1,0.837491104,1
Drug metabolism - cytochrome P450,25,,1,1,0.462547915,1,0.331717903,1,0.999959547,1
GABAergic synapse,46,,0.547424725,1,0.935442161,1,0.305297861,0.984530065,0.807212908,1
Chagas disease,69,,0.733555144,1,0.900410945,1,0.238643739,0.934467112,0.833725716,1
Cortisol synthesis and secretion,39,,0.423144676,1,0.79988948,1,0.467744832,1,0.651035947,1
Influenza A,128,,0.393230408,1,0.794055164,1,0.5186993,1,0.645583699,1
Taurine and hypotaurine metabolism,5,,-,,1,1,0.359950507,1,0.999999938,1
Kaposi sarcoma-associated herpesvirus infection,150,,0.499991297,1,0.556936987,1,0.60449447,1,0.577330384,1
Renin secretion,38,,0.32928406,1,0.760535197,1,0.694684462,1,0.64292488,1
cAMP signaling pathway,124,,0.313040015,1,0.94657427,1,0.605892558,1,0.797117198,1
Protein digestion and absorption,42,,0.795637237,1,0.395036257,1,0.576036859,1,0.670955699,1
Ras signaling pathway,150,,0.350935045,1,0.597361365,1,0.864662827,1,0.630594849,1
"Parathyroid hormone synthesis, secretion and action",78,,0.631052783,1,0.657296861,1,0.437105009,1,0.663312993,1
Sphingolipid metabolism,38,,0.547424725,1,0.540349257,1,0.617502526,1,0.602205001,1
Melanogenesis,69,,0.237838421,1,0.959458782,1,0.803803238,1,0.840093859,1
Non-alcoholic fatty liver disease,130,,0.793410464,1,0.277355836,1,0.860308125,1,0.715469371,1
Staphylococcus aureus infection,38,,0.547424725,1,0.410612724,1,0.842654146,1,0.624987411,1
NF-kappa B signaling pathway,79,,0.787926791,1,0.955929537,1,0.251915182,0.939205514,0.915293609,1
Mitophagy - animal,65,,0.932374673,1,0.266478775,1,0.764233008,1,0.80278194,1
Calcium signaling pathway,129,,0.310460983,1,0.861953277,1,0.71339859,1,0.725802808,1
Vibrio cholerae infection,44,,1,1,0.695886329,1,0.274683494,0.97006671,0.999990345,1
ECM-receptor interaction,43,,1,1,0.282230314,1,0.683425918,1,0.999965536,1
Cellular senescence,136,,0.887384997,1,0.750034529,1,0.290389393,0.984530065,0.846253723,1
TGF-beta signaling pathway,72,,0.929452381,1,0.657296861,1,0.334118946,1,0.856081574,1
Oxidative phosphorylation,108,,0.652700927,1,0.321878884,1,0.976562543,1,0.765013618,1
Th1 and Th2 cell differentiation,75,,0.528941519,1,0.478530298,1,0.813552993,1,0.639019586,1
Bladder cancer,33,,0.587279116,1,0.839385231,1,0.428473358,1,0.764060838,1
"Valine, leucine and isoleucine biosynthesis",3,,-,,0.435278893,1,1,1,0.999047248,1
Glyoxylate and dicarboxylate metabolism,23,,1,1,0.420250615,1,0.516391577,1,0.999974986,1
Cholinergic synapse,73,,0.420059495,1,0.999760146,1,0.518673242,1,0.984370062,1
Phospholipase D signaling pathway,102,,0.231900924,1,0.973890605,1,0.965895345,1,0.930965821,1
ErbB signaling pathway,67,,0.314112115,1,0.74857321,1,0.92819854,1,0.752074206,1
Fatty acid elongation,21,,1,1,0.897436359,1,0.243994476,0.934467112,0.999998856,1
Salivary secretion,55,,0.27695851,1,0.907113339,1,0.912573206,1,0.839879546,1
alpha-Linolenic acid metabolism,11,,-,,0.575704195,1,0.796011807,1,0.721155077,1
Notch signaling pathway,52,,0.975745213,1,0.833673539,1,0.287374298,0.984530065,0.956043195,1
Apelin signaling pathway,99,,0.275804901,1,0.98661621,1,0.866142886,1,0.929918221,1
Drug metabolism - other enzymes,39,,0.509698964,1,0.749125129,1,0.617502526,1,0.714770665,1
Neuroactive ligand-receptor interaction,108,,0.795637237,1,0.410612724,1,0.734798376,1,0.737769241,1
NOD-like receptor signaling pathway,135,,0.638040692,1,0.775575835,1,0.495194788,1,0.763875458,1
RIG-I-like receptor signaling pathway,47,,0.896030651,1,0.34982849,1,0.802969892,1,0.816801831,1
Salmonella infection,227,,0.389879023,1,0.998503727,1,0.688937269,1,0.973478115,1
Hedgehog signaling pathway,40,,0.587279116,1,0.469953181,1,0.982302445,1,0.817516929,1
Glycosphingolipid biosynthesis - lacto and neolacto series,18,,-,,-,,0.85797017,1,0.85797017,1
Vasopressin-regulated water reabsorption,35,,0.509698964,1,0.71215112,1,0.769144151,1,0.746318925,1
Thiamine metabolism,10,,-,,0.629457867,1,0.835446648,1,0.7828895,1
Prostate cancer,73,,0.724054443,1,0.84980533,1,0.463170284,1,0.847800129,1
Insulin signaling pathway,114,,0.937354759,1,0.3403811,1,0.897635236,1,0.889940484,1
Toll-like receptor signaling pathway,68,,0.552562055,1,0.915607877,1,0.575195393,1,0.853934968,1
Wnt signaling pathway,122,,0.662154007,1,0.479141461,1,0.928773604,1,0.789653291,1
Antifolate resistance,25,,0.733555144,1,0.475425802,1,0.856247621,1,0.78184979,1
Gastric acid secretion,46,,0.655379398,1,0.975248463,1,0.46738192,1,0.934019352,1
GnRH secretion,41,,0.423144676,1,0.994264507,1,0.713629091,1,0.958373435,1
Necroptosis,125,,0.393230408,1,0.84059415,1,0.917897428,1,0.842716404,1
Hepatocellular carcinoma,131,,0.79206423,1,0.804559575,1,0.476351476,1,0.857201239,1
"Phenylalanine, tyrosine and tryptophan biosynthesis",3,,-,,1,1,0.572388679,1,0.999999987,1
Endocytosis,217,,0.327276982,1,0.996490202,1,0.982892283,1,0.988495252,1
Glutathione metabolism,37,,1,1,0.431798116,1,0.754629371,1,0.999992347,1
Fatty acid biosynthesis,16,,1,1,0.34633958,1,0.946945542,1,0.999997135,1
Synaptic vesicle cycle,52,,0.547424725,1,0.882429078,1,0.684851307,1,0.849573794,1
Chemokine signaling pathway,121,,0.525217958,1,0.892627678,1,0.742622022,1,0.863936814,1
Ferroptosis,34,,0.587279116,1,0.627220231,1,0.955446735,1,0.843797471,1
SNARE interactions in vesicular transport,33,,0.509698964,1,0.805067887,1,0.858904264,1,0.838580157,1
Adherens junction,63,,0.58177829,1,0.883908258,1,0.688382772,1,0.864456574,1
Nitrogen metabolism,8,,-,,1,1,0.62448511,1,0.999999991,1
Longevity regulating pathway,73,,0.730998548,1,0.971127242,1,0.518673242,1,0.950965248,1
Thyroid cancer,30,,0.90792808,1,0.949011311,1,0.428473358,1,0.968798045,1
Hypertrophic cardiomyopathy,48,,1,1,0.79988948,1,0.466977176,1,0.999998599,1
Collecting duct acid secretion,18,,1,1,0.800324217,1,0.467737437,1,0.999998611,1
Porphyrin and chlorophyll metabolism,19,,1,1,0.897436359,1,0.418813198,1,0.999999555,1
Homologous recombination,41,,0.853899928,1,0.476689536,1,0.93333186,1,0.890786386,1
Phosphatidylinositol signaling system,84,,0.757555814,1,0.54919043,1,0.920369198,1,0.86000327,1
Pathogenic Escherichia coli infection,162,,0.454226982,1,0.978311627,1,0.8634227,1,0.951415558,1
Parkinson disease,211,,0.441336806,1,0.879764072,1,0.992797871,1,0.946099561,1
Thermogenesis,190,,0.858169418,1,0.45583679,1,0.991672472,1,0.939788675,1
Regulation of actin cytoskeleton,159,,0.406315056,1,0.998364927,1,0.985348937,1,0.995261111,1
